TransmitterID,anchorID, Avg, Distance
rpi13, rpi16,-48.282051282051285,2.18
rpi13, rpi21,-56.15384615384615,2.542
rpi13, rpi12,-51.43589743589744,3.547
rpi13, rpi17,-63.38461538461539,3.847
rpi13, rpi15,-54.333333333333336,4.522
rpi13, rpi4,-69.8974358974359,5.01
rpi13, rpi9,-59.87179487179487,5.222
rpi13, rpi10,-59.15384615384615,5.298
rpi13, rpi24,-62.7948717948718,5.604
rpi13, rpi19,-62.74358974358975,6.093
rpi13, rpi18,-59.23076923076923,6.242
rpi13, rpi8,-56.23076923076923,7.03
rpi16, rpi17,-58.46153846153846,1.76
rpi16, rpi13,-49.46153846153846,2.18
rpi16, rpi12,-51.7948717948718,2.751
rpi16, rpi9,-63.82051282051282,3.36
rpi16, rpi21,-64.92307692307692,3.78
rpi16, rpi18,-64.15384615384616,4.29
rpi16, rpi19,-64.48717948717949,4.888
rpi16, rpi8,-65.51282051282051,5.468
rpi16, rpi15,-64.61538461538461,5.908
rpi16, rpi10,-53.64102564102564,6.092
rpi16, rpi4,-59.05128205128205,7.187
rpi16, rpi24,-60.41025641025641,7.745
rpi12, rpi9,-45.0,2.634
rpi12, rpi16,-52.20512820512821,2.663
rpi12, rpi8,-53.76923076923077,3.45
rpi12, rpi13,-56.64102564102564,3.547
rpi12, rpi10,-56.76923076923077,3.801
rpi12, rpi17,-55.76923076923077,4.253
rpi12, rpi4,-60.64102564102564,5.29
rpi12, rpi15,-55.256410256410255,5.445
rpi12, rpi21,-63.74358974358975,5.993
rpi12, rpi18,-58.282051282051285,6.612
rpi12, rpi24,-66.92307692307692,7.426
rpi12, rpi19,-64.92307692307692,7.602
rpi4, rpi8,-70.51282051282051,3.43
rpi4, rpi10,-78.07692307692308,3.65
rpi4, rpi9,-70.97435897435898,4.689
rpi4, rpi13,-70.97435897435898,5.01
rpi4, rpi12,-58.333333333333336,5.29
rpi4, rpi16,-58.35897435897436,7.187
rpi4, rpi15,-70.2051282051282,7.71
rpi4, rpi17,-69.7948717948718,9.105
rpi4, rpi24,-72.92307692307692,10.51
rpi4, rpi18,-72.71794871794872,11.299
rpi4, rpi21,-72.41025641025641,11.532
rpi4, rpi19,-72.58974358974359,12.502
rpi19, rpi18,-65.66666666666667,2.45
rpi19, rpi17,-57.12820512820513,3.521
rpi19, rpi21,-67.3076923076923,4.254
rpi19, rpi16,-62.333333333333336,4.888
rpi19, rpi13,-64.87179487179488,6.093
rpi19, rpi9,-77.12820512820512,7.102
rpi19, rpi12,-64.33333333333333,7.602
rpi19, rpi8,-74.84615384615384,9.317
rpi19, rpi15,-73.74358974358974,10.266
rpi19, rpi10,-75.28205128205128,10.64
rpi19, rpi24,-67.38461538461539,10.985
rpi19, rpi4,-73.15384615384616,12.502
rpi15, rpi24,-62.87179487179487,2.99
rpi15, rpi10,-61.71794871794872,3.607
rpi15, rpi13,-55.333333333333336,4.522
rpi15, rpi12,-54.64102564102564,5.445
rpi15, rpi16,-66.15384615384616,5.908
rpi15, rpi21,-60.92307692307692,6.513
rpi15, rpi4,-74.23076923076923,7.71
rpi15, rpi17,-66.56410256410257,7.991
rpi15, rpi9,-59.282051282051285,8.02
rpi15, rpi8,-66.12820512820512,8.436
rpi15, rpi19,-69.51282051282051,10.266
rpi15, rpi18,-64.51282051282051,10.458
rpi24, rpi15,-61.53846153846154,2.99
rpi24, rpi13,-63.35897435897436,5.604
rpi24, rpi21,-54.64102564102564,6.047
rpi24, rpi10,-72.46153846153847,6.607
rpi24, rpi12,-63.43589743589744,7.426
rpi24, rpi16,-63.30769230769231,7.745
rpi24, rpi17,-67.41025641025641,9.961
rpi24, rpi9,-68.71794871794872,10.322
rpi24, rpi4,-72.46153846153847,10.51
rpi24, rpi19,-70.12820512820512,10.985
rpi24, rpi8,-72.6923076923077,11.318
rpi24, rpi18,-69.56410256410257,12.014
rpi21, rpi13,-56.282051282051285,2.542
rpi21, rpi16,-61.51282051282051,3.78
rpi21, rpi17,-55.76923076923077,3.981
rpi21, rpi19,-68.46153846153847,4.254
rpi21, rpi12,-65.48717948717949,5.993
rpi21, rpi24,-54.41025641025641,6.047
rpi21, rpi15,-63.256410256410255,6.513
rpi21, rpi18,-65.28205128205128,6.606
rpi21, rpi9,-65.51282051282051,6.943
rpi21, rpi10,-67.97435897435898,7.862
rpi21, rpi8,-76.61538461538461,9.242
rpi21, rpi4,-74.46153846153847,11.532
rpi9, rpi8,-56.97435897435897,2.254
rpi9, rpi12,-43.48717948717949,2.634
rpi9, rpi16,-62.30769230769231,3.36
rpi9, rpi17,-64.35897435897436,3.793
rpi9, rpi4,-69.71794871794872,4.689
rpi9, rpi13,-59.8974358974359,5.222
rpi9, rpi18,-63.30769230769231,5.449
rpi9, rpi10,-63.256410256410255,5.844
rpi9, rpi21,-62.53846153846154,6.943
rpi9, rpi19,-73.38461538461539,7.102
rpi9, rpi15,-59.02564102564103,8.02
rpi9, rpi24,-67.2051282051282,10.322
rpi12, rpi9,-45.43589744,2.634
rpi12, rpi16,-51.23076923,2.663
rpi12, rpi8,-53.53846154,3.45
rpi12, rpi13,-56.51282051,3.547
